epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.5155,1.13065,6.79767,0.01841,0.00254,0.75,0.05073,0.02888,0.97717,12.184,0.02548,1.667e-05,1.667e-05,1.667e-05
2,44.8054,1.3086,6.48011,0.02367,0.00253,0.75,0.06434,0.03694,0.94801,12.1231,0.02466,4.75345e-05,4.75345e-05,4.75345e-05
3,63.0442,1.1001,6.57735,0.02043,0.0031,0.875,0.06814,0.03937,0.84706,11.9666,0.02192,7.50984e-05,7.50984e-05,7.50984e-05
4,76.7823,0.9507,6.48523,0.01805,0.00353,0.875,0.06164,0.03838,0.71929,11.8071,0.01899,9.93615e-05,9.93615e-05,9.93615e-05
5,90.5138,0.94018,6.98787,0.01772,0.00411,0.875,0.04787,0.03327,0.68859,11.7583,0.01778,0.000120324,0.000120324,0.000120324
6,105.952,0.95225,6.49544,0.01683,0.00482,0.9375,0.04735,0.03479,0.6385,11.6832,0.01557,0.000137986,0.000137986,0.000137986
7,120.892,0.92441,6.65421,0.01572,0.00529,0.9375,0.05775,0.04422,0.62948,11.6554,0.01535,0.000152347,0.000152347,0.000152347
8,135.326,0.92348,6.17841,0.01582,0.00559,0.9375,0.07495,0.05777,0.66432,11.6828,0.01666,0.000163408,0.000163408,0.000163408
9,151.27,0.8735,6.24234,0.01499,0.00561,0.9375,0.07549,0.05945,0.67164,11.6881,0.01681,0.000171168,0.000171168,0.000171168
10,165.333,0.91144,7.14554,0.01953,0.00576,0.9375,0.07951,0.06349,0.70355,11.6959,0.01762,0.000175627,0.000175627,0.000175627
11,184.176,0.83491,10.8286,0.02081,0.00574,0.9375,0.09297,0.07282,0.68127,11.6586,0.01666,0.000176785,0.000176785,0.000176785
12,198.838,0.85532,10.7617,0.02067,0.00565,0.9375,0.09135,0.07077,0.64148,11.6053,0.01477,0.000174643,0.000174643,0.000174643
13,215.382,0.93433,10.7035,0.02225,0.00557,0.9375,0.09904,0.07687,0.62754,11.583,0.01492,0.000169201,0.000169201,0.000169201
14,230.454,0.79599,10.5947,0.01955,0.00536,0.9375,0.10411,0.07831,0.63912,11.6064,0.0151,0.000160457,0.000160457,0.000160457
15,245.24,0.72428,10.4274,0.01926,0.00528,0.9375,0.10327,0.07778,0.68254,11.649,0.0168,0.000148413,0.000148413,0.000148413
16,259.013,0.70043,10.4452,0.01716,0.00515,0.9375,0.10945,0.08131,0.70689,11.6727,0.01793,0.000133068,0.000133068,0.000133068
17,274.821,0.65675,10.2903,0.01663,0.00508,0.9375,0.11629,0.08477,0.70348,11.6665,0.01743,0.000114423,0.000114423,0.000114423
18,295.607,0.70936,10.3567,0.01902,0.00508,0.9375,0.15089,0.10949,0.7179,11.6823,0.01744,9.24768e-05,9.24768e-05,9.24768e-05
19,313.84,0.72914,10.3005,0.01948,0.00501,0.9375,0.1837,0.13629,0.72609,11.6966,0.01803,6.72301e-05,6.72301e-05,6.72301e-05
20,329.542,0.84943,10.5218,0.02238,0.00497,0.9375,0.18537,0.13736,0.7023,11.6704,0.01732,3.86827e-05,3.86827e-05,3.86827e-05
